alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-18
alt_diff: -49.80095498935785 , velocity_diff: 0.0008964068581391259
alt_diff: -49.83481862618851 , velocity_diff: 0.001692603563442652
alt_diff: -49.89208161047253 , velocity_diff: 0.002554055935453767
alt_diff: -49.974752746715495 , velocity_diff: 0.0034796725444538844
alt_diff: -50.08481188255058 , velocity_diff: 0.0044683690400075735
alt_diff: -50.22421018656166 , velocity_diff: 0.0035416812304890277
alt_diff: -50.3948705835752 , velocity_diff: 0.002519731465976006
alt_diff: -50.59868833056058 , velocity_diff: 0.0014351645365114564
alt_diff: -50.837531716579605 , velocity_diff: 0.00028893507226725786
alt_diff: -51.11324287053563 , velocity_diff: 0.0009180272249429576
alt_diff: -51.427638660755065 , velocity_diff: 0.002184819808982743
alt_diff: -51.78251167065858 , velocity_diff: 0.0035105689509289653
alt_diff: -52.1786229334335 , velocity_diff: 0.004827158790223971
alt_diff: -52.61467766608919 , velocity_diff: 0.0060655779546750725
alt_diff: -53.08831071872666 , velocity_diff: 0.007223651679417754
alt_diff: -53.59708719362558 , velocity_diff: 0.008299086329041564
alt_diff: -54.13849892672988 , velocity_diff: 0.009289475847675189
alt_diff: -54.71207527213602 , velocity_diff: 0.010333424424911024
alt_diff: -55.31941805105794 , velocity_diff: 0.011430252262856749
alt_diff: -55.962111683073545 , velocity_diff: 0.01257926592092188
alt_diff: -56.64172298129327 , velocity_diff: 0.013779757486432634
alt_diff: -57.358736257307754 , velocity_diff: 0.01495990766151781
alt_diff: -58.11253329885341 , velocity_diff: 0.016118023615381664
alt_diff: -58.90244456122025 , velocity_diff: 0.017252316460483516
alt_diff: -59.727746270275276 , velocity_diff: 0.018360894982235747
alt_diff: -60.5865498854005 , velocity_diff: 0.01936777817212215
alt_diff: -61.47576253827626 , velocity_diff: 0.02026888558102293
alt_diff: -62.39216368273 , velocity_diff: 0.02105995782765463
alt_diff: -63.33355659662092 , velocity_diff: 0.021813878289370474
alt_diff: -64.29880456369193 , velocity_diff: 0.022528300786160443
alt_diff: -65.28669940816553 , velocity_diff: 0.023200776690446043
alt_diff: -66.29595834572189 , velocity_diff: 0.023828754431693782
alt_diff: -67.32522081204954 , velocity_diff: 0.0244095799535493
alt_diff: -68.37304529777336 , velocity_diff: 0.02494049829779031
alt_diff: -69.43666622293054 , velocity_diff: 0.025335767414995408
alt_diff: -70.51320164244495 , velocity_diff: 0.025674040400478833
alt_diff: -71.60090685241713 , velocity_diff: 0.025952385750251425
alt_diff: -72.699235864444 , velocity_diff: 0.026253952997279013
alt_diff: -73.80888301273134 , velocity_diff: 0.02657788575043677
alt_diff: -74.93051936136683 , velocity_diff: 0.02692323023976259
alt_diff: -76.0634651102267 , velocity_diff: 0.027200347709357593
alt_diff: -77.20563913080014 , velocity_diff: 0.02740568438178197
alt_diff: -78.35485142089328 , velocity_diff: 0.02753563163396029
alt_diff: -79.50880131558924 , velocity_diff: 0.027586546591491262
alt_diff: -80.66507632016595 , velocity_diff: 0.027554776727828783
alt_diff: -81.82257422318204 , velocity_diff: 0.02753181752554351
alt_diff: -82.97867606656152 , velocity_diff: 0.027324090060691596
alt_diff: -84.12773519945588 , velocity_diff: 0.026924388071273633
alt_diff: -85.26537945615553 , velocity_diff: 0.026425990108923016
alt_diff: -86.38858850583222 , velocity_diff: 0.025825980151049713
alt_diff: -87.49270909220786 , velocity_diff: 0.025018596121785076
alt_diff: -88.57139534116158 , velocity_diff: 0.023998019376653433
alt_diff: -89.61812111859982 , velocity_diff: 0.022759252438195772
alt_diff: -90.62783254142329 , velocity_diff: 0.021407059263906895
alt_diff: -91.59539677210503 , velocity_diff: 0.01983182509180982
alt_diff: -92.51398360674767 , velocity_diff: 0.01803170324490433
alt_diff: -93.3767061374084 , velocity_diff: 0.01600640121629747
alt_diff: -94.17839678617008 , velocity_diff: 0.013872791276370063
alt_diff: -94.91571589493171 , velocity_diff: 0.011636872102795938
alt_diff: -95.58550378933424 , velocity_diff: 0.00930576959756892
alt_diff: -96.18481480022669 , velocity_diff: 0.0068877208418401635
alt_diff: -96.71273713667452 , velocity_diff: 0.004511239139729358
alt_diff: -97.17044818807898 , velocity_diff: 0.002187309916259873
alt_diff: -97.55765417793529 , velocity_diff: 0.000193065277557301
alt_diff: -97.8725727073828 , velocity_diff: 0.0026194338029329363
alt_diff: -98.11373495843876 , velocity_diff: 0.0037849299135676185
alt_diff: -98.28182226960197 , velocity_diff: 0.0013273747283314074
alt_diff: -98.37967693406807 , velocity_diff: 0.0010234896800553912
alt_diff: -98.40865851950949 , velocity_diff: 0.003377968313594975
alt_diff: -98.36863282531363 , velocity_diff: 0.005725335762163348
alt_diff: -98.2615933826624 , velocity_diff: 0.007934549170919918
alt_diff: -98.09163469046212 , velocity_diff: 0.009997135441006158
alt_diff: -97.8631004054418 , velocity_diff: 0.011905871128148966
alt_diff: -97.57877259750552 , velocity_diff: 0.013772863430479341
alt_diff: -97.23987096442963 , velocity_diff: 0.015590840532258482
alt_diff: -96.84783207511407 , velocity_diff: 0.017353028027209078
alt_diff: -96.40254117952995 , velocity_diff: 0.01916982163513207
alt_diff: -95.9023506065405 , velocity_diff: 0.02103325526642437
alt_diff: -95.34759377671304 , velocity_diff: 0.02281946265888805
alt_diff: -94.74054641438124 , velocity_diff: 0.024523080714001055
alt_diff: -94.08193198133492 , velocity_diff: 0.026253344057052753
alt_diff: -93.37094697354414 , velocity_diff: 0.028003393501117586
alt_diff: -92.60699414893867 , velocity_diff: 0.029766508616965694
alt_diff: -91.78967842806824 , velocity_diff: 0.03153616620321538
alt_diff: -90.92212895090361 , velocity_diff: 0.03308504912170092
alt_diff: -90.00922636976625 , velocity_diff: 0.034523777713857055
alt_diff: -89.05423008626968 , velocity_diff: 0.03585123405661217
