alt_diff: -80.0 , velocity_diff: 1.5041468046728874e-16
alt_diff: 218.6498151775553 , velocity_diff: 13.115579235605612
alt_diff: 222.57764753109808 , velocity_diff: 13.197399970247762
alt_diff: 226.52979322772927 , velocity_diff: 13.278212122055768
alt_diff: 230.50599477003408 , velocity_diff: 13.358036254634737
alt_diff: 234.50600123964512 , velocity_diff: 13.436892576376783
alt_diff: 238.52956816046725 , velocity_diff: 13.514800939087406
alt_diff: 242.57645736106474 , velocity_diff: 13.591780837924789
alt_diff: 246.64643683661598 , velocity_diff: 13.667851412522486
alt_diff: 250.73928061080233 , velocity_diff: 13.743031449174936
alt_diff: 254.8547685979625 , velocity_diff: 13.817073389554144
alt_diff: 258.9926864658113 , velocity_diff: 13.890417548611392
alt_diff: 263.1528254989913 , velocity_diff: 13.963264392902088
alt_diff: 267.33498246369794 , velocity_diff: 14.035209773802448
alt_diff: 271.5389594735908 , velocity_diff: 14.106206812361421
alt_diff: 275.7645638571822 , velocity_diff: 14.176418840031255
alt_diff: 280.0116080268689 , velocity_diff: 14.245862298345616
alt_diff: 284.2799093497546 , velocity_diff: 14.314553319213053
alt_diff: 288.56929002039 , velocity_diff: 14.382507732430266
alt_diff: 292.8795769355406 , velocity_diff: 14.449741073430673
alt_diff: 297.2106015710759 , velocity_diff: 14.516268591215786
alt_diff: 301.5621998610592 , velocity_diff: 14.582105256421496
alt_diff: 305.934212079104 , velocity_diff: 14.647265769475196
alt_diff: 310.3264827220494 , velocity_diff: 14.711764568803465
alt_diff: 314.7388603959972 , velocity_diff: 14.775615839053598
alt_diff: 319.17119770474335 , velocity_diff: 14.838833519295338
alt_diff: 323.6233511406242 , velocity_diff: 14.901431311172455
alt_diff: 328.0951809777937 , velocity_diff: 14.963422686976436
alt_diff: 332.58655116793796 , velocity_diff: 15.024820897617303
alt_diff: 337.0973292384259 , velocity_diff: 15.085638980469044
alt_diff: 341.6273861928918 , velocity_diff: 15.145889767069253
alt_diff: 346.17659641423484 , velocity_diff: 15.205585890655064
alt_diff: 350.7448375700229 , velocity_diff: 15.264739793518926
alt_diff: 355.33199052027703 , velocity_diff: 15.323363734170107
alt_diff: 359.9379392276112 , velocity_diff: 15.38146979428922
alt_diff: 364.5625706697032 , velocity_diff: 15.439069885464713
alt_diff: 369.20577475406026 , velocity_diff: 15.496175755701763
alt_diff: 373.8674442350506 , velocity_diff: 15.552798995695397
alt_diff: 378.54747463316016 , velocity_diff: 15.608951044860946
alt_diff: 383.2457641564431 , velocity_diff: 15.66464319711601
alt_diff: 387.9622136241196 , velocity_diff: 15.719886606409386
alt_diff: 392.6967263922859 , velocity_diff: 15.774692291993347
alt_diff: 397.4492082816922 , velocity_diff: 15.82907114343651
alt_diff: 402.2195675075469 , velocity_diff: 15.883033925375727
alt_diff: 407.0077146113024 , velocity_diff: 15.936591282005885
alt_diff: 411.8135623943813 , velocity_diff: 15.989753741307519
alt_diff: 416.6370258537968 , velocity_diff: 16.042531719012853
alt_diff: 421.4780221196247 , velocity_diff: 16.094935522311395
alt_diff: 426.3364703942814 , velocity_diff: 16.146975353297016
alt_diff: 431.21229189356484 , velocity_diff: 16.198661312158873
alt_diff: 436.1054097894149 , velocity_diff: 16.2500034001193
alt_diff: 441.0157491543483 , velocity_diff: 16.30101152212198
alt_diff: 445.94323690752583 , velocity_diff: 16.35169548927444
alt_diff: 450.887801762409 , velocity_diff: 16.402065021049353
alt_diff: 455.8493741759645 , velocity_diff: 16.452129747249224
alt_diff: 460.82788629937227 , velocity_diff: 16.50189920973997
alt_diff: 465.82327193020035 , velocity_diff: 16.551382863958608
alt_diff: 470.8354664660019 , velocity_diff: 16.6005900802012
alt_diff: 475.864406859298 , velocity_diff: 16.64953014469703
alt_diff: 480.9100315739049 , velocity_diff: 16.69821226047554
alt_diff: 485.97228054256925 , velocity_diff: 16.74664554803276
alt_diff: 491.0510951258725 , velocity_diff: 16.794839045804125
alt_diff: 496.14641807236956 , velocity_diff: 16.84280171045078
alt_diff: 501.2581934799234 , velocity_diff: 16.890542416966845
alt_diff: 506.3863667582033 , velocity_diff: 16.938069958614996
alt_diff: 511.53088459231026 , velocity_diff: 16.985393046698118
alt_diff: 516.6916949074978 , velocity_diff: 17.03252031017476
alt_diff: 521.8687468349541 , velocity_diff: 17.079460295126314
alt_diff: 527.0619906786154 , velocity_diff: 17.126221464083912
